date,INSTRUMENT_1,INSTRUMENT_2,INSTRUMENT_3,INSTRUMENT_4,INSTRUMENT_5,INSTRUMENT_6,INSTRUMENT_7,INSTRUMENT_8,INSTRUMENT_9,INSTRUMENT_10
2017-01-04,0.00593112528769435,0.005308807371890545,0.011144393947703612,0.007685919205953962,0.0038351951647452864,0.0011344300706115362,0.003524153107474781,0.012055535634448944,nan,nan
2017-01-05,-0.0007078572446443943,0.0053685497477085065,0.008473791960090793,0.010596125631495479,0.015908376752745035,0.00688205684778076,0.01548475782337988,0.010417320217610104,nan,nan
2017-01-06,0.003433479767891434,0.008739022670643415,-0.003341526450754362,-0.003960401216096976,-0.009411834182346368,-0.004822748047542014,-0.007399186866332563,-0.0017108644036296639,nan,nan
2017-01-09,-0.003079488512835127,0.003387625389533966,-0.0015763550062257714,-0.0009925559127519357,0.008291157583981246,0.004003495569564919,0.008286971015551536,-0.03230121504226702,nan,nan
2017-01-10,-0.00010112757251956594,0.0021655342171484904,0.0001971803220426338,0.005940611530121487,-0.0006118079114054709,-0.0004098780670149793,0.0042504270135923505,-0.021450939808807412,nan,nan
2017-01-11,0.0025755638811455484,0.0025061586811281344,0.005113088818998968,0.0117763873238248,0.003156986175156362,0.001126760682589989,0.003087919873936862,0.026632584168021722,nan,nan
2017-01-12,-0.0023733189618591055,-0.0014683656276810453,0.0013721456627049378,0.004542512677963462,-0.0022394146166666573,0.0006140620395598262,0.0036929612004623635,0.014952529605196219,nan,nan
2017-01-13,0.002171553513507618,0.0032792573397344427,0.0039100734078432176,-0.0009716599954754379,-0.0048010715848878505,-0.0022534066689923193,0.002717035722064942,-0.011220772448240268,nan,nan
2017-01-17,-0.0033856370296954097,-0.0028471612348388575,-0.0039100734078432176,-0.0006482982398861026,0.010390233027641749,0.005318073486895614,0.014166143126835173,0.001751313932735421,nan,nan
2017-01-18,0.002022654411261371,0.0019852408229192875,-0.0027461766964300693,-0.005527570568968354,-0.013158755688047918,-0.007473799826014371,-0.00849298804643972,-0.02401753429528508,nan,nan
